"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","5,304.72","5,027.85","5,339.53","5,010.24","","5.34%"
"04/01/2024","5,035.69","5,254.33","5,261.33","4,953.77","","-4.16%"
"03/01/2024","5,254.40","5,098.50","5,264.90","5,056.80","","3.10%"
"02/01/2024","5,096.30","4,861.10","5,111.10","4,853.50","","5.17%"
"01/01/2024","4,845.60","4,745.20","4,931.10","4,682.10","","1.59%"
"12/01/2023","4,769.80","4,559.40","4,793.30","4,546.50","","4.42%"
"11/01/2023","4,567.80","4,201.30","4,587.60","4,197.70","","8.92%"
"10/01/2023","4,193.80","4,284.50","4,393.60","4,103.80","","-2.20%"
"09/01/2023","4,288.10","4,530.60","4,541.20","4,238.60","","-4.87%"
"08/01/2023","4,507.70","4,578.80","4,584.60","4,335.30","","-1.77%"
"07/01/2023","4,589.00","4,450.50","4,607.10","4,385.10","","3.11%"
"06/01/2023","4,450.40","4,183.00","4,458.50","4,171.60","","6.47%"
"05/01/2023","4,179.80","4,166.80","4,231.10","4,048.30","","0.25%"
"04/01/2023","4,169.50","4,102.20","4,170.10","4,049.30","","1.46%"
"03/01/2023","4,109.30","3,963.30","4,110.80","3,808.90","","3.50%"
"02/01/2023","3,970.20","4,070.10","4,195.40","3,943.10","","-2.61%"
"01/01/2023","4,076.60","3,853.30","4,094.20","3,794.30","","6.18%"
"12/01/2022","3,839.50","4,087.10","4,101.00","3,764.50","","-5.90%"
"11/01/2022","4,080.10","3,901.80","4,080.10","3,698.20","","5.37%"
"10/01/2022","3,872.00","3,609.80","3,905.40","3,491.60","","7.99%"
"09/01/2022","3,585.60","3,936.70","4,119.30","3,584.10","","-9.34%"
"08/01/2022","3,955.00","4,112.40","4,325.30","3,954.50","","-4.24%"
"07/01/2022","4,130.30","3,781.00","4,140.10","3,721.60","","9.11%"
"06/01/2022","3,785.40","4,149.80","4,177.50","3,636.90","","-8.39%"
"05/01/2022","4,132.10","4,130.60","4,307.70","3,810.30","","0.00%"
"04/01/2022","4,131.90","4,540.30","4,593.40","4,124.30","","-8.80%"
"03/01/2022","4,530.40","4,363.10","4,637.30","4,157.90","","3.58%"
"02/01/2022","4,373.90","4,519.60","4,595.30","4,114.60","","-3.14%"
"01/01/2022","4,515.60","4,778.10","4,818.60","4,222.60","","-5.26%"
"12/01/2021","4,766.20","4,602.80","4,808.90","4,495.10","","4.36%"
"11/01/2021","4,567.00","4,610.60","4,743.80","4,560.00","","-0.83%"
"10/01/2021","4,605.40","4,317.20","4,608.10","4,278.90","","6.92%"
"09/01/2021","4,307.50","4,528.80","4,545.90","4,305.90","","-4.76%"
"08/01/2021","4,522.70","4,406.90","4,537.40","4,367.70","","2.90%"
"07/01/2021","4,395.30","4,300.70","4,430.00","4,233.10","","2.28%"
"06/01/2021","4,297.50","4,216.50","4,302.40","4,164.40","","2.22%"
"05/01/2021","4,204.10","4,192.00","4,238.00","4,056.90","","0.55%"
"04/01/2021","4,181.20","3,992.80","4,218.80","3,992.80","","5.24%"
"03/01/2021","3,972.90","3,842.50","3,994.40","3,723.30","","4.24%"
"02/01/2021","3,811.20","3,731.20","3,950.40","3,725.60","","2.61%"
"01/01/2021","3,714.20","3,764.60","3,870.90","3,662.70","","-1.12%"
"12/01/2020","3,756.10","3,645.90","3,760.20","3,633.40","","3.71%"
"11/01/2020","3,621.60","3,296.20","3,646.00","3,279.70","","10.75%"
"10/01/2020","3,270.00","3,385.90","3,549.80","3,233.90","","-2.77%"
"09/01/2020","3,363.00","3,507.40","3,588.10","3,209.40","","-3.92%"
"08/01/2020","3,500.30","3,288.30","3,514.80","3,284.50","","7.01%"
"07/01/2020","3,271.10","3,105.90","3,280.00","3,101.20","","5.51%"
"06/01/2020","3,100.30","3,038.80","3,233.10","2,965.70","","1.84%"
"05/01/2020","3,044.30","2,869.10","3,068.70","2,766.60","","4.53%"
"04/01/2020","2,912.40","2,498.10","2,954.90","2,447.50","","12.68%"
"03/01/2020","2,584.60","2,974.30","3,136.70","2,191.90","","-12.51%"
"02/01/2020","2,954.20","3,235.70","3,393.50","2,855.80","","-8.41%"
