Date,Price
1/12/1999,6.482
1/11/1999,6.288
1/10/1999,6.166
1/9/1999,6.049
1/8/1999,6.066
1/7/1999,6.107
1/6/1999,5.964
1/5/1999,5.83
1/4/1999,5.662
1/3/1999,5.625
1/2/1999,5.58
1/1/1999,5.088
1/12/1998,5.096
1/11/1998,5.074
1/10/1998,5.153
1/9/1998,4.978
1/8/1998,5.258
1/7/1998,5.713
1/6/1998,5.63
1/5/1998,5.802
1/4/1998,6.081
1/3/1998,5.935
1/2/1998,5.926
1/1/1998,5.807
1/12/1997,5.92
1/11/1997,6.061
1/10/1997,6.142
1/9/1997,6.398
1/8/1997,6.608
1/7/1997,6.299
1/6/1997,6.787
1/5/1997,6.908
1/4/1997,6.959
1/3/1997,7.098
1/2/1997,6.804
1/1/1997,6.786
1/12/1996,6.644
1/11/1996,6.359
1/10/1996,6.645
1/9/1996,6.923
1/8/1996,7.12
1/7/1996,6.977
1/6/1996,6.895
1/5/1996,6.988
1/4/1996,6.912
1/3/1996,6.674
1/2/1996,6.467
1/1/1996,6.027
1/12/1995,5.949
1/11/1995,6.132
1/10/1995,6.332
1/9/1995,6.507
1/8/1995,6.65
1/7/1995,6.844
1/6/1995,6.622
1/5/1995,6.651
1/4/1995,7.338
1/3/1995,7.433
1/2/1995,7.444
1/1/1995,7.697
1/12/1994,7.882
1/11/1994,8
1/10/1994,7.976
1/9/1994,7.816
1/8/1994,7.452
1/7/1994,7.394
1/6/1994,7.615
1/5/1994,7.435
1/4/1994,7.305
1/3/1994,7.086
1/2/1994,6.661
1/1/1994,6.239
1/12/1993,6.341
1/11/1993,6.298
1/10/1993,5.967
1/9/1993,6.026
1/8/1993,6.093
1/7/1993,6.561
1/6/1993,6.674
1/5/1993,6.973
1/4/1993,6.927
1/3/1993,6.925
1/2/1993,6.892
1/1/1993,7.196
1/12/1992,7.398
1/11/1992,7.59
1/10/1992,7.628
1/9/1992,7.377
1/8/1992,7.409
1/7/1992,7.437
1/6/1992,7.78
1/5/1992,7.835
1/4/1992,8.036
1/3/1992,7.959
1/2/1992,7.795
1/1/1992,7.758
1/12/1991,7.396
1/11/1991,7.934
1/10/1991,7.899
1/9/1991,7.811
1/8/1991,8.058
1/7/1991,8.343
1/6/1991,8.408
1/5/1991,8.269
1/4/1991,8.186
1/3/1991,8.244
1/2/1991,8.21
1/1/1991,8.199
