"Date","Price","Open","High","Low","Change %"
"01-06-2021","2.088","2.291","2.330","1.929","-7.72%"
"01-05-2021","2.263","2.298","2.424","2.158","-1.52%"
"01-04-2021","2.298","2.410","2.426","2.207","-4.85%"
"01-03-2021","2.415","2.147","2.518","2.138","12.12%"
"01-02-2021","2.154","1.840","2.401","1.826","17.37%"
"01-01-2021","1.835","1.662","1.915","1.638","11.49%"
"01-12-2020","1.646","1.574","1.750","1.562","4.91%"
"01-11-2020","1.569","1.637","1.767","1.481","-5.38%"
"01-10-2020","1.658","1.462","1.690","1.425","14.02%"
"01-09-2020","1.454","1.482","1.516","1.320","-1.46%"
"01-08-2020","1.476","1.199","1.577","1.165","23.45%"
"01-07-2020","1.196","1.412","1.480","1.176","-15.37%"
"01-06-2020","1.413","1.400","1.762","1.356","0.12%"
"01-05-2020","1.411","1.274","1.485","1.230","9.14%"
"01-04-2020","1.293","1.327","1.417","1.126","-1.78%"
"01-03-2020","1.316","1.642","1.943","0.702","-21.85%"
"01-02-2020","1.684","2.006","2.159","1.638","-15.67%"
"01-01-2020","1.997","2.395","2.419","1.992","-16.41%"
"01-12-2019","2.389","2.221","2.393","2.142","8.46%"
"01-11-2019","2.203","2.180","2.444","2.167","1.34%"
"01-10-2019","2.173","2.118","2.352","1.998","2.81%"
"01-09-2019","2.114","1.975","2.386","1.909","7.68%"
"01-08-2019","1.963","2.531","2.559","1.905","-22.11%"
"01-07-2019","2.521","2.558","2.677","2.456","-0.51%"
"01-06-2019","2.533","2.566","2.656","2.480","-1.45%"
"01-05-2019","2.571","2.936","2.962","2.567","-12.25%"
"01-04-2019","2.930","2.833","3.011","2.831","4.02%"
"01-03-2019","2.816","3.083","3.137","2.791","-8.61%"
"01-02-2019","3.082","3.006","3.101","2.969","2.82%"
"01-01-2019","2.997","3.016","3.109","2.888","-0.75%"
"01-12-2018","3.020","3.324","3.335","2.957","-8.32%"
"01-11-2018","3.294","3.402","3.467","3.278","-3.01%"
"01-10-2018","3.396","3.210","3.446","3.196","5.86%"
"01-09-2018","3.208","3.030","3.249","3.020","6.26%"
"01-08-2018","3.019","3.081","3.148","2.960","-2.02%"
"01-07-2018","3.081","2.991","3.116","2.924","3.06%"
"01-06-2018","2.990","3.025","3.152","2.954","-1.15%"
"01-05-2018","3.024","3.125","3.264","2.954","-3.18%"
"01-04-2018","3.124","2.991","3.219","2.956","5.10%"
"01-03-2018","2.972","3.129","3.178","2.968","-4.97%"
"01-02-2018","3.128","2.947","3.233","2.938","6.36%"
"01-01-2018","2.941","2.744","2.994","2.744","7.35%"
"01-12-2017","2.739","2.828","2.884","2.678","-3.29%"
"01-11-2017","2.832","2.879","2.899","2.738","-1.50%"
"01-10-2017","2.875","2.865","2.980","2.801","0.34%"
"01-09-2017","2.866","2.731","2.904","2.636","5.09%"
"01-08-2017","2.727","2.905","2.930","2.687","-6.01%"
"01-07-2017","2.901","2.849","2.946","2.796","2.38%"
"01-06-2017","2.834","2.868","2.893","2.682","-1.13%"
"01-05-2017","2.866","2.951","3.059","2.856","-3.09%"
"01-04-2017","2.958","3.015","3.035","2.824","-1.79%"
"01-03-2017","3.012","3.007","3.215","2.960","0.47%"
"01-02-2017","2.998","3.065","3.127","2.945","-2.37%"
"01-01-2017","3.070","3.054","3.131","2.902","0.25%"
"01-12-2016","3.063","3.048","3.215","3.008","0.60%"
"01-11-2016","3.044","2.592","3.091","2.522","18.01%"
"01-10-2016","2.580","2.318","2.639","2.305","11.28%"
"01-09-2016","2.318","2.233","2.500","2.206","3.94%"
"01-08-2016","2.231","2.190","2.340","2.188","2.49%"
"01-07-2016","2.177","2.285","2.360","2.089","-4.91%"
"01-06-2016","2.289","2.647","2.658","2.247","-13.66%"
"01-05-2016","2.651","2.677","2.728","2.546","-1.07%"
"01-04-2016","2.680","2.623","2.764","2.511","2.59%"
"01-03-2016","2.612","2.622","2.759","2.586","-0.14%"
"01-02-2016","2.616","2.757","2.781","2.380","-4.78%"
"01-01-2016","2.747","3.037","3.038","2.711","-8.90%"
"01-12-2015","3.015","2.979","3.114","2.866","1.39%"
"01-11-2015","2.974","2.915","3.139","2.909","1.68%"
"01-10-2015","2.925","2.855","2.988","2.749","2.48%"
"01-09-2015","2.854","2.955","3.092","2.841","-3.60%"
"01-08-2015","2.960","2.919","2.965","2.624","1.78%"
"01-07-2015","2.908","3.134","3.250","2.895","-6.76%"
"01-06-2015","3.119","2.888","3.256","2.864","8.22%"
"01-05-2015","2.883","2.751","3.128","2.747","5.04%"
"01-04-2015","2.744","2.542","2.813","2.441","8.03%"
"01-03-2015","2.540","2.600","2.870","2.444","-2.04%"
"01-02-2015","2.593","2.231","2.747","2.230","16.67%"
"01-01-2015","2.223","2.776","2.786","2.221","-19.15%"
"01-12-2014","2.750","2.897","3.017","2.670","-4.97%"
"01-11-2014","2.893","3.041","3.133","2.889","-5.64%"
"01-10-2014","3.066","3.210","3.276","2.673","-4.25%"
"01-09-2014","3.202","3.092","3.391","3.089","3.84%"
"01-08-2014","3.084","3.320","3.370","3.059","-7.09%"
"01-07-2014","3.319","3.362","3.516","3.217","-1.26%"
"01-06-2014","3.362","3.333","3.499","3.324","1.04%"
"01-05-2014","3.327","3.471","3.503","3.266","-3.76%"
"01-04-2014","3.457","3.563","3.654","3.418","-2.90%"
"01-03-2014","3.560","3.558","3.752","3.493","-0.67%"
"01-02-2014","3.584","3.614","3.743","3.525","-0.43%"
"01-01-2014","3.599","3.965","3.983","3.594","-9.20%"
"01-12-2013","3.964","3.825","4.001","3.779","3.86%"
"01-11-2013","3.817","3.643","3.938","3.637","4.90%"
"01-10-2013","3.639","3.688","3.804","3.565","-1.46%"
"01-09-2013","3.693","3.741","3.922","3.642","-0.64%"
"01-08-2013","3.716","3.650","3.940","3.602","1.93%"
"01-07-2013","3.646","3.507","3.793","3.418","4.18%"
"01-06-2013","3.499","3.306","3.652","3.169","6.75%"
"01-05-2013","3.278","2.873","3.370","2.810","13.83%"
"01-04-2013","2.880","3.140","3.140","2.823","-7.21%"
"01-03-2013","3.104","3.086","3.286","3.037","0.46%"
"01-02-2013","3.090","3.181","3.254","3.030","-2.49%"
"01-01-2013","3.168","2.952","3.222","2.952","7.32%"
"01-12-2012","2.952","2.811","3.036","2.745","5.05%"
"01-11-2012","2.810","2.864","2.963","2.695","-1.72%"
"01-10-2012","2.859","2.814","3.023","2.796","1.29%"
"01-09-2012","2.823","2.695","3.121","2.654","5.79%"
"01-08-2012","2.668","2.550","2.984","2.508","4.64%"
"01-07-2012","2.550","2.759","2.761","2.443","-7.40%"
"01-06-2012","2.754","2.654","2.854","2.510","4.29%"
"01-05-2012","2.641","3.118","3.169","2.585","-15.21%"
"01-04-2012","3.114","3.363","3.445","3.057","-6.83%"
"01-03-2012","3.343","3.094","3.492","3.059","8.47%"
"01-02-2012","3.082","2.941","3.234","2.939","4.88%"
"01-01-2012","2.938","2.891","3.182","2.879","1.63%"
"01-12-2011","2.891","3.069","3.161","2.778","-5.36%"
"01-11-2011","3.055","3.148","3.201","2.816","-2.43%"
"01-10-2011","3.131","2.921","3.489","2.694","7.43%"
"01-09-2011","2.914","3.605","3.654","2.739","-19.30%"
"01-08-2011","3.611","4.140","4.204","3.341","-12.44%"
"01-07-2011","4.124","4.374","4.416","4.104","-5.78%"
"01-06-2011","4.377","4.231","4.451","4.131","3.67%"
"01-05-2011","4.221","4.405","4.425","4.202","-4.01%"
"01-04-2011","4.398","4.509","4.678","4.387","-2.50%"
"01-03-2011","4.510","4.513","4.678","4.318","0.42%"
"01-02-2011","4.491","4.576","4.791","4.483","-1.79%"
"01-01-2011","4.573","4.349","4.645","4.252","5.47%"
"01-12-2010","4.336","4.128","4.625","4.108","5.44%"
"01-11-2010","4.112","4.008","4.424","3.861","3.23%"
"01-10-2010","3.984","3.690","4.075","3.637","8.06%"
"01-09-2010","3.687","3.524","3.960","3.520","4.75%"
"01-08-2010","3.520","3.999","4.091","3.462","-11.81%"
"01-07-2010","3.991","3.899","4.138","3.826","2.47%"
"01-06-2010","3.894","4.216","4.320","3.889","-7.63%"
"01-05-2010","4.216","4.527","4.588","3.968","-6.74%"
"01-04-2010","4.521","4.721","4.858","4.520","-4.09%"
"01-03-2010","4.714","4.566","4.804","4.538","3.40%"
"01-02-2010","4.559","4.505","4.774","4.486","1.47%"
"01-01-2010","4.493","4.661","4.743","4.476","-3.06%"
"01-12-2009","4.635","4.200","4.734","4.190","10.46%"
"01-11-2009","4.196","4.248","4.479","4.159","-0.78%"
"01-10-2009","4.229","4.059","4.388","3.891","4.47%"
"01-09-2009","4.048","4.180","4.392","4.017","-3.18%"
"01-08-2009","4.181","4.327","4.718","4.163","-2.81%"
"01-07-2009","4.302","4.330","4.657","4.156","-0.67%"
"01-06-2009","4.331","4.365","4.842","4.265","-0.02%"
"01-05-2009","4.332","4.034","4.663","4.026","7.25%"
"01-04-2009","4.039","3.537","4.092","3.487","14.19%"
"01-03-2009","3.537","3.707","3.847","3.346","-4.61%"
"01-02-2009","3.708","3.605","3.764","3.406","2.77%"
"01-01-2009","3.608","2.685","3.635","2.620","34.63%"
"01-12-2008","2.680","3.491","3.491","2.514","-22.05%"
"01-11-2008","3.438","4.371","4.400","3.435","-21.36%"
"01-10-2008","4.372","4.231","4.398","3.882","1.32%"
"01-09-2008","4.315","4.425","4.477","3.896","-2.51%"
"01-08-2008","4.426","4.580","4.709","4.365","-3.26%"
"01-07-2008","4.575","4.518","4.719","4.405","1.15%"
"01-06-2008","4.523","4.718","4.814","4.495","-4.28%"
"01-05-2008","4.725","4.473","4.808","4.423","5.61%"
"01-04-2008","4.474","4.317","4.637","4.277","4.05%"
"01-03-2008","4.300","4.424","4.618","4.158","-2.49%"
"01-02-2008","4.410","4.341","4.721","4.276","1.99%"
"01-01-2008","4.324","4.462","4.489","4.100","-3.09%"
"01-12-2007","4.462","4.389","4.688","4.302","1.80%"
"01-11-2007","4.383","4.748","4.783","4.234","-7.63%"
"01-10-2007","4.745","4.835","4.930","4.625","-1.94%"
"01-09-2007","4.839","4.828","4.977","4.619","0.25%"
"01-08-2007","4.827","4.903","5.070","4.814","-1.41%"
"01-07-2007","4.896","5.129","5.293","4.896","-4.49%"
"01-06-2007","5.126","5.013","5.442","4.997","2.29%"
"01-05-2007","5.011","4.813","5.052","4.761","4.05%"
"01-04-2007","4.816","4.844","4.946","4.794","-0.54%"
"01-03-2007","4.842","4.678","4.857","4.593","3.24%"
"01-02-2007","4.690","4.916","4.948","4.574","-4.50%"
"01-01-2007","4.911","4.815","5.007","4.687","2.08%"
"01-12-2006","4.811","4.566","4.846","4.526","5.44%"
"01-11-2006","4.563","4.684","4.814","4.559","-3.29%"
"01-10-2006","4.718","4.767","4.976","4.712","-0.97%"
"01-09-2006","4.764","4.873","4.980","4.683","-2.36%"
"01-08-2006","4.879","5.070","5.126","4.878","-3.77%"
"01-07-2006","5.070","5.189","5.294","5.052","-2.29%"
"01-06-2006","5.189","5.223","5.290","4.997","-0.67%"
"01-05-2006","5.224","5.163","5.318","5.074","1.14%"
"01-04-2006","5.165","4.893","5.226","4.870","5.54%"
"01-03-2006","4.894","4.508","4.923","4.505","8.42%"
"01-02-2006","4.514","4.680","4.737","4.461","-3.63%"
"01-01-2006","4.684","4.684","4.684","4.684","3.15%"
"01-12-2005","4.541","4.541","4.541","4.541","-3.49%"
"01-11-2005","4.705","4.705","4.705","4.705","-0.99%"
"01-10-2005","4.752","4.752","4.752","4.752","3.96%"
"01-09-2005","4.571","4.571","4.571","4.571","7.35%"
"01-08-2005","4.258","4.258","4.258","4.258","-4.81%"
"01-07-2005","4.473","4.473","4.473","4.473","6.65%"
"01-06-2005","4.194","4.194","4.194","4.194","-2.98%"
"01-05-2005","4.323","4.323","4.323","4.323","-4.25%"
"01-04-2005","4.515","4.515","4.515","4.515","-5.15%"
"01-03-2005","4.760","4.760","4.760","4.760","0.83%"
"01-02-2005","4.721","4.721","4.721","4.721","2.90%"
"01-01-2005","4.588","4.588","4.588","4.588","-4.87%"
"01-12-2004","4.823","4.823","4.823","4.823","-2.74%"
"01-11-2004","4.959","4.959","4.959","4.959","3.55%"
"01-10-2004","4.789","4.789","4.789","4.789","-1.09%"
"01-09-2004","4.842","4.842","4.842","4.842","-1.51%"
"01-08-2004","4.916","4.916","4.916","4.916","-5.44%"
"01-07-2004","5.199","5.199","5.199","5.199","-1.72%"
"01-06-2004","5.290","5.290","5.290","5.290","-0.53%"
"01-05-2004","5.318","5.318","5.318","5.318","0.91%"
"01-04-2004","5.270","5.270","5.270","5.270","10.48%"
"01-03-2004","4.770","4.770","4.770","4.770","-1.47%"
"01-02-2004","4.841","4.841","4.841","4.841","-2.28%"
"01-01-2004","4.954","4.954","4.954","4.954","-2.33%"
"01-12-2003","5.072","5.072","5.072","5.072","0.20%"
"01-11-2003","5.062","5.062","5.062","5.062","-1.34%"
"01-10-2003","5.131","5.131","5.131","5.131","5.29%"
"01-09-2003","4.873","4.873","4.873","4.873","-6.65%"
"01-08-2003","5.220","5.220","5.220","5.220","-2.21%"
"01-07-2003","5.338","5.338","5.338","5.338","17.09%"
"01-06-2003","4.559","4.559","4.559","4.559","4.13%"
"01-05-2003","4.378","4.378","4.378","4.378","-8.51%"
"01-04-2003","4.785","4.785","4.785","4.785","-1.03%"
"01-03-2003","4.835","4.835","4.835","4.835","3.03%"
"01-02-2003","4.693","4.693","4.693","4.693","-3.04%"
"01-01-2003","4.840","4.840","4.840","4.840","1.21%"
"01-12-2002","4.782","4.782","4.782","4.782","-5.16%"
"01-11-2002","5.042","5.042","5.042","5.042","1.04%"
"01-10-2002","4.990","4.990","4.990","4.990","6.85%"
"01-09-2002","4.670","4.670","4.670","4.670","-5.24%"
"01-08-2002","4.928","4.928","4.928","4.928","-7.16%"
"01-07-2002","5.308","5.308","5.308","5.308","-3.74%"
"01-06-2002","5.514","5.514","5.514","5.514","-1.83%"
"01-05-2002","5.617","5.617","5.617","5.617","0.38%"
"01-04-2002","5.596","5.596","5.596","5.596","-3.53%"
"01-03-2002","5.801","5.801","5.801","5.801","7.05%"
"01-02-2002","5.419","5.419","5.419","5.419","-0.35%"
"01-01-2002","5.438","5.438","5.438","5.438","-0.57%"
"01-12-2001","5.469","5.469","5.469","5.469","3.46%"
"01-11-2001","5.286","5.286","5.286","5.286","8.50%"
"01-10-2001","4.872","4.872","4.872","4.872","-10.14%"
"01-09-2001","5.422","5.422","5.422","5.422","0.95%"
"01-08-2001","5.371","5.371","5.371","5.371","-2.80%"
"01-07-2001","5.526","5.526","5.526","5.526","-4.08%"
"01-06-2001","5.761","5.761","5.761","5.761","0.09%"
"01-05-2001","5.756","5.756","5.756","5.756","-0.52%"
"01-04-2001","5.786","5.786","5.786","5.786","6.26%"
"01-03-2001","5.445","5.445","5.445","5.445","2.45%"
"01-02-2001","5.315","5.315","5.315","5.315","-3.43%"
"01-01-2001","5.504","5.504","5.504","5.504","0.88%"
"01-12-2000","5.456","5.456","5.456","5.456","-2.73%"
"01-11-2000","5.609","5.609","5.609","5.609","-3.08%"
"01-10-2000","5.787","5.787","5.787","5.787","-1.72%"
"01-09-2000","5.888","5.888","5.888","5.888","3.94%"
"01-08-2000","5.665","5.665","5.665","5.665","-2.04%"
"01-07-2000","5.783","5.783","5.783","5.783","-1.95%"
"01-06-2000","5.898","5.898","5.898","5.898","-1.70%"
"01-05-2000","6.000","6.000","6.000","6.000","0.60%"
"01-04-2000","5.964","5.964","5.964","5.964","2.28%"
"01-03-2000","5.831","5.831","5.831","5.831","-4.96%"
"01-02-2000","6.135","6.135","6.135","6.135","-5.44%"
"01-01-2000","6.488","6.488","6.488","6.488","0.09%"
"01-12-1999","6.482","6.482","6.482","6.482","3.09%"
"01-11-1999","6.288","6.288","6.288","6.288","1.98%"
"01-10-1999","6.166","6.166","6.166","6.166","1.93%"
"01-09-1999","6.049","6.049","6.049","6.049","-0.28%"
"01-08-1999","6.066","6.066","6.066","6.066","-0.67%"
"01-07-1999","6.107","6.107","6.107","6.107","2.40%"
"01-06-1999","5.964","5.964","5.964","5.964","2.30%"
"01-05-1999","5.830","5.830","5.830","5.830","2.97%"
"01-04-1999","5.662","5.662","5.662","5.662","0.66%"
"01-03-1999","5.625","5.625","5.625","5.625","0.81%"
"01-02-1999","5.580","5.580","5.580","5.580","9.67%"
"01-01-1999","5.088","5.088","5.088","5.088","-0.16%"
"01-12-1998","5.096","5.096","5.096","5.096","0.43%"
"01-11-1998","5.074","5.074","5.074","5.074","-1.53%"
"01-10-1998","5.153","5.153","5.153","5.153","3.52%"
"01-09-1998","4.978","4.978","4.978","4.978","-5.33%"
"01-08-1998","5.258","5.258","5.258","5.258","-7.96%"
"01-07-1998","5.713","5.713","5.713","5.713","1.47%"
"01-06-1998","5.630","5.630","5.630","5.630","-2.96%"
"01-05-1998","5.802","5.802","5.802","5.802","-4.59%"
"01-04-1998","6.081","6.081","6.081","6.081","2.46%"
"01-03-1998","5.935","5.935","5.935","5.935","0.15%"
"01-02-1998","5.926","5.926","5.926","5.926","2.05%"
"01-01-1998","5.807","5.807","5.807","5.807","-1.91%"
"01-12-1997","5.920","5.920","5.920","5.920","-2.33%"
"01-11-1997","6.061","6.061","6.061","6.061","-1.32%"
"01-10-1997","6.142","6.142","6.142","6.142","-4.00%"
"01-09-1997","6.398","6.398","6.398","6.398","-3.18%"
"01-08-1997","6.608","6.608","6.608","6.608","4.91%"
"01-07-1997","6.299","6.299","6.299","6.299","-7.19%"
"01-06-1997","6.787","6.787","6.787","6.787","-1.75%"
"01-05-1997","6.908","6.908","6.908","6.908","-0.73%"
"01-04-1997","6.959","6.959","6.959","6.959","-1.96%"
"01-03-1997","7.098","7.098","7.098","7.098","4.32%"
"01-02-1997","6.804","6.804","6.804","6.804","0.27%"
"01-01-1997","6.786","6.786","6.786","6.786","2.14%"
"01-12-1996","6.644","6.644","6.644","6.644","4.48%"
"01-11-1996","6.359","6.359","6.359","6.359","-4.30%"
"01-10-1996","6.645","6.645","6.645","6.645","-4.02%"
"01-09-1996","6.923","6.923","6.923","6.923","-2.77%"
"01-08-1996","7.120","7.120","7.120","7.120","2.05%"
"01-07-1996","6.977","6.977","6.977","6.977","1.19%"
"01-06-1996","6.895","6.895","6.895","6.895","-1.33%"
"01-05-1996","6.988","6.988","6.988","6.988","1.10%"
"01-04-1996","6.912","6.912","6.912","6.912","3.57%"
"01-03-1996","6.674","6.674","6.674","6.674","3.20%"
"01-02-1996","6.467","6.467","6.467","6.467","7.30%"
"01-01-1996","6.027","6.027","6.027","6.027","1.31%"
"01-12-1995","5.949","5.949","5.949","5.949","-2.98%"
"01-11-1995","6.132","6.132","6.132","6.132","-3.16%"
"01-10-1995","6.332","6.332","6.332","6.332","-2.69%"
"01-09-1995","6.507","6.507","6.507","6.507","-2.15%"
"01-08-1995","6.650","6.650","6.650","6.650","-2.83%"
"01-07-1995","6.844","6.844","6.844","6.844","3.35%"
"01-06-1995","6.622","6.622","6.622","6.622","-0.44%"
"01-05-1995","6.651","6.651","6.651","6.651","-9.36%"
"01-04-1995","7.338","7.338","7.338","7.338","-1.28%"
"01-03-1995","7.433","7.433","7.433","7.433","-0.15%"
"01-02-1995","7.444","7.444","7.444","7.444","-3.29%"
"01-01-1995","7.697","7.697","7.697","7.697","-2.35%"
"01-12-1994","7.882","7.882","7.882","7.882","-1.48%"
"01-11-1994","8.000","8.000","8.000","8.000","0.30%"
"01-10-1994","7.976","7.976","7.976","7.976","2.05%"
"01-09-1994","7.816","7.816","7.816","7.816","4.88%"
"01-08-1994","7.452","7.452","7.452","7.452","0.78%"
"01-07-1994","7.394","7.394","7.394","7.394","-2.90%"
"01-06-1994","7.615","7.615","7.615","7.615","2.42%"
"01-05-1994","7.435","7.435","7.435","7.435","1.78%"
"01-04-1994","7.305","7.305","7.305","7.305","3.09%"
"01-03-1994","7.086","7.086","7.086","7.086","6.38%"
"01-02-1994","6.661","6.661","6.661","6.661","6.76%"
"01-01-1994","6.239","6.239","6.239","6.239","-1.61%"
"01-12-1993","6.341","6.341","6.341","6.341","0.68%"
"01-11-1993","6.298","6.298","6.298","6.298","5.55%"
"01-10-1993","5.967","5.967","5.967","5.967","-0.98%"
"01-09-1993","6.026","6.026","6.026","6.026","-1.10%"
"01-08-1993","6.093","6.093","6.093","6.093","-7.13%"
"01-07-1993","6.561","6.561","6.561","6.561","-1.69%"
"01-06-1993","6.674","6.674","6.674","6.674","-4.29%"
"01-05-1993","6.973","6.973","6.973","6.973","0.66%"
"01-04-1993","6.927","6.927","6.927","6.927","0.03%"
"01-03-1993","6.925","6.925","6.925","6.925","0.48%"
"01-02-1993","6.892","6.892","6.892","6.892","-4.22%"
"01-01-1993","7.196","7.196","7.196","7.196","-2.73%"
"01-12-1992","7.398","7.398","7.398","7.398","-2.53%"
"01-11-1992","7.590","7.590","7.590","7.590","-0.50%"
"01-10-1992","7.628","7.628","7.628","7.628","3.40%"
"01-09-1992","7.377","7.377","7.377","7.377","-0.43%"
"01-08-1992","7.409","7.409","7.409","7.409","-0.38%"
"01-07-1992","7.437","7.437","7.437","7.437","-4.41%"
"01-06-1992","7.780","7.780","7.780","7.780","-0.70%"
"01-05-1992","7.835","7.835","7.835","7.835","-2.50%"
"01-04-1992","8.036","8.036","8.036","8.036","0.97%"
"01-03-1992","7.959","7.959","7.959","7.959","2.10%"
"01-02-1992","7.795","7.795","7.795","7.795","0.48%"
"01-01-1992","7.758","7.758","7.758","7.758","4.89%"
"01-12-1991","7.396","7.396","7.396","7.396","-6.78%"
"01-11-1991","7.934","7.934","7.934","7.934","0.44%"
"01-10-1991","7.899","7.899","7.899","7.899","1.13%"
"01-09-1991","7.811","7.811","7.811","7.811","-3.07%"
"01-08-1991","8.058","8.058","8.058","8.058","-3.42%"
"01-07-1991","8.343","8.343","8.343","8.343","-0.77%"
"01-06-1991","8.408","8.408","8.408","8.408","1.68%"
"01-05-1991","8.269","8.269","8.269","8.269","1.01%"
"01-04-1991","8.186","8.186","8.186","8.186","-0.70%"
"01-03-1991","8.244","8.244","8.244","8.244","0.41%"
"01-02-1991","8.210","8.210","8.210","8.210","0.13%"
"01-01-1991","8.199","8.199","8.199","8.199","-0.64%"
